edad,codigopostal,tipovivienda,dependientes,estadocivil,genero,claveactividad,nivelacademico,telefono,ingreso,egreso,tipoprestamo,tasanormal,tasamoratoria,monto,avales,creditostrabajados,bien,montogarantia,finalidad,remesas,plazo,estatuscuenta
74,70725,2,4,2,2,9999999,6,1,0,0,4,24,24,4300,0,10,1,0,2,1,5,3
64,70735,2,0,2,1,2400000,4,1,0,0,6,24,24,5000,1,13,1,0,2,1,5,3
62,70725,2,1,2,2,219908,6,1,9,6,2,42,42,5000,1,17,1,0,2,1,5,3
61,70705,2,1,2,2,149907,6,1,0,0,4,24,24,3000,0,22,1,0,2,1,6,3
61,70705,2,1,2,1,9999999,6,1,0,0,1,48,48,5000,1,4,1,0,2,1,5,3
69,70725,2,1,2,2,100008,6,1,0,0,4,24,24,3000,0,23,1,0,2,1,5,3
68,70760,2,0,2,2,111063,6,1,0,0,4,24,24,5000,0,23,1,0,2,1,5,3
62,70735,2,2,2,1,232017,4,1,5,2,4,24,24,5000,0,12,1,0,2,1,7,3
67,70705,2,4,4,2,149907,6,1,9,0,1,48,48,10000,1,5,1,0,2,1,6,3
66,70735,2,0,5,1,6999900,4,1,0,0,6,24,24,4000,1,20,1,0,2,1,5,3
74,70735,2,0,1,2,9999999,4,1,0,0,1,48,48,5000,1,5,1,0,2,1,3,3
71,70735,2,0,2,1,6999900,6,1,1,1,1,48,48,5000,1,3,1,0,2,1,8,3
87,70725,2,1,2,2,219908,6,1,9,0,6,24,24,20000,1,22,1,0,2,1,11,3
77,70735,2,2,2,2,9999999,6,1,9,2,1,48,48,5000,1,5,1,0,2,1,10,3
62,70735,2,0,2,2,219908,7,1,7,0,5,36,36,60000,2,4,1,1,2,1,5,3
64,70725,2,1,2,2,149907,6,1,9,0,4,24,24,4000,0,20,1,0,2,1,5,3
72,70735,2,1,2,2,9999999,6,1,2,1,4,24,24,3000,0,23,1,0,2,1,5,3
65,70735,2,1,2,2,219908,6,1,6,2,6,24,24,25500,0,17,1,0,2,1,11,3
71,70735,2,0,3,2,219908,6,1,9,1,2,42,42,15000,1,12,1,0,2,1,7,3
62,70735,2,2,2,1,232017,4,1,5,2,4,24,24,2500,0,12,1,0,2,1,5,3
61,70705,2,8,5,2,9999999,6,1,9,2,1,48,48,8000,0,2,1,0,2,1,6,3
66,70735,2,0,2,2,219908,4,1,9,0,4,24,24,2000,0,12,1,0,2,1,2,3
62,70725,2,1,2,2,6999900,6,1,1,1,4,24,24,4000,0,11,1,0,2,1,5,3
65,70725,2,1,2,2,9999999,4,1,9,0,4,24,24,3000,0,16,1,0,2,1,5,3
71,70735,2,2,2,2,9999999,4,1,3,0,4,24,24,4600,0,20,1,0,2,1,5,3
61,70735,2,0,2,1,9999999,6,1,0,0,1,48,48,3000,0,17,1,0,2,1,6,3
68,70760,2,2,2,2,9999999,6,1,1,0,4,24,24,4000,0,23,1,0,2,1,5,3
62,70735,2,2,2,1,232017,4,1,5,2,1,48,48,6000,1,12,1,0,2,1,11,3
65,70298,2,2,2,2,100008,6,1,0,0,4,24,24,3500,0,22,1,0,2,1,5,3
62,70705,2,1,2,2,9999999,6,1,0,0,4,24,24,3000,0,10,1,0,2,1,5,3
68,70705,2,1,4,2,149907,6,1,0,0,6,24,24,15000,0,19,1,0,2,1,7,3
66,70735,2,0,5,1,6999900,4,1,0,0,6,24,24,8000,0,20,1,0,2,1,5,3
69,70725,2,1,2,2,100008,6,1,0,0,4,24,24,4000,0,23,1,0,2,1,5,3
67,70735,2,3,2,2,219908,6,1,5,2,4,24,24,5000,0,18,1,0,2,1,5,3
65,70735,2,1,2,2,2711019,6,1,2,3,1,48,48,5000,0,20,1,0,2,1,6,3
65,70725,2,4,2,1,9999999,6,1,1,1,1,48,48,2000,0,1,1,0,2,1,4,3
87,70735,2,2,2,2,9999999,6,1,0,0,1,48,48,5000,1,6,1,0,2,1,7,3
65,70735,2,0,5,1,9999999,4,1,3,3,2,42,42,20000,1,11,1,0,2,1,11,3
62,70725,2,1,2,2,9411998,4,1,1,1,6,24,24,12000,0,16,1,0,2,1,11,3
62,70725,2,1,2,2,219908,6,1,9,6,2,42,42,5000,1,17,1,0,2,1,5,3
75,70760,2,0,3,1,9999999,4,1,2,0,3,18,18,7000,0,19,5,1,2,1,5,3
65,70725,2,1,2,2,9999999,4,1,9,0,4,24,24,3000,0,16,1,0,2,1,5,3
67,70735,2,1,2,2,9999999,6,1,2,0,1,48,48,19000,1,11,1,0,2,1,6,3
82,70705,2,2,2,2,9999999,6,1,0,0,4,24,24,2000,0,16,1,0,2,1,5,3
65,70735,2,0,2,1,3331022,4,1,3,2,1,48,48,5000,0,17,1,0,2,1,8,3
85,70725,2,1,2,2,9999999,4,1,0,0,8,20,20,50000,1,5,1,6,1,1,11,3
67,70705,2,4,4,2,149907,6,1,9,0,1,48,48,5000,1,5,1,0,2,1,5,3
63,70725,2,4,2,1,9999999,4,1,0,0,1,48,48,3000,1,2,1,0,2,1,6,3
61,70760,2,1,2,2,3516038,6,1,2,1,6,24,24,15000,1,13,1,0,2,1,7,3
68,70760,2,2,2,2,9999999,6,1,9,2,1,48,48,15000,0,3,1,0,2,1,6,3
61,70705,2,1,2,1,9999999,6,1,0,0,1,48,48,5000,1,4,1,0,2,1,8,3
68,70760,2,0,2,2,111063,6,1,0,0,1,48,48,15000,0,23,1,0,2,1,11,3
64,70725,2,1,2,2,149907,6,1,9,0,4,24,24,4000,0,20,1,0,2,1,5,3
61,70705,2,1,2,2,149907,6,1,0,0,4,24,24,4000,0,22,1,0,2,1,5,3
76,70735,2,1,2,2,219908,6,1,9,0,2,42,42,15000,1,13,1,0,2,1,11,3
69,70760,2,1,2,2,6999900,4,1,9,2,6,24,24,10000,0,15,1,0,2,1,6,3
64,70735,2,0,5,1,219908,4,1,4,0,6,24,24,12000,0,16,1,0,2,1,11,3
65,70735,2,1,2,2,2711019,6,1,2,3,6,24,24,5000,1,20,1,0,2,1,6,3
66,70725,2,1,2,2,211011,4,1,3,1,6,24,24,29000,0,23,1,0,2,1,5,3
65,70735,2,1,2,2,2711019,6,1,2,3,6,24,24,15000,0,20,1,0,2,1,6,3
67,70725,2,1,2,2,6999900,6,1,9,0,1,48,48,4000,0,9,1,0,2,1,6,3
87,70735,2,1,2,2,219908,4,1,5,0,6,24,24,20000,1,22,1,0,2,1,11,3
61,70735,2,2,2,2,9999999,6,1,0,0,8,20,20,75000,1,4,1,1,1,1,11,3
75,70725,2,1,2,2,9999999,4,1,5,0,4,24,24,3700,0,18,1,0,2,1,5,3
62,70735,2,2,2,2,219908,6,1,9,0,6,24,24,50000,0,17,1,6,2,1,11,3
65,70735,2,0,2,2,9999999,6,1,0,1,8,20,20,40000,1,1,1,0,1,1,7,3
65,70725,2,2,2,1,9999999,4,1,1,0,1,48,48,5000,0,3,1,0,2,1,10,3
62,70725,2,1,2,2,219908,6,1,9,6,2,42,42,5000,0,17,1,0,2,1,5,3
73,70705,2,1,4,2,211011,6,1,6,0,8,20,20,150000,2,2,1,1,1,1,11,3
64,70720,2,1,2,2,219908,6,1,5,7,1,48,48,10000,0,7,1,0,2,1,5,3
61,70735,2,0,2,1,9999999,6,1,0,0,1,48,48,2000,0,17,1,0,2,1,6,3
65,70760,2,1,2,1,9999999,6,1,1,0,4,24,24,3700,0,11,1,0,2,1,5,3
65,70735,2,0,2,1,3331022,4,1,3,2,1,48,48,10000,0,17,1,0,2,1,8,3
76,70725,2,1,4,2,9999999,6,1,0,0,4,24,24,4000,0,19,1,0,2,1,5,3
65,70725,2,1,2,2,9999999,4,1,9,0,4,24,24,7000,0,16,1,0,2,1,6,3
66,70725,2,1,2,2,211011,4,1,3,1,6,24,24,60000,0,23,1,1,2,1,11,3
61,70735,2,3,2,2,9999999,6,1,0,0,2,42,42,12000,0,7,1,0,2,1,6,3
67,70735,2,3,2,2,219908,6,1,5,2,1,48,48,15000,1,18,1,0,2,1,5,3
68,70760,2,2,2,2,9999999,6,1,1,0,4,24,24,5000,0,23,1,0,2,1,5,3
71,70735,2,0,3,2,219908,6,1,9,1,2,42,42,10000,0,12,1,0,2,1,7,3
64,70725,2,1,2,2,149907,6,1,9,0,4,24,24,4000,0,20,1,0,2,1,5,3
87,70725,2,1,2,2,219908,6,1,9,0,6,24,24,10000,1,22,1,0,2,1,5,3
71,70735,2,2,2,2,9999999,4,1,3,0,4,24,24,4900,0,20,1,0,2,1,5,3
65,70735,2,1,2,2,219908,6,1,6,2,6,24,24,10000,0,17,1,0,2,1,11,3
67,70705,2,4,4,2,149907,6,1,9,0,1,48,48,5000,0,5,1,0,2,1,8,3
62,70705,2,1,2,2,9999999,6,1,0,0,4,24,24,6000,0,10,1,0,2,1,11,3
68,70705,2,1,4,2,149907,6,1,0,0,4,24,24,5000,0,19,1,0,2,1,5,3
82,70705,2,2,2,2,9999999,6,1,0,0,4,24,24,4000,0,16,1,0,2,1,5,3
76,70735,2,1,2,2,219908,6,1,9,0,2,42,42,10000,1,13,1,0,2,1,5,3
87,70735,2,1,2,2,219908,4,1,5,0,6,24,24,20000,1,22,1,0,2,1,11,3
65,70298,2,2,2,2,100008,6,1,0,0,4,24,24,4000,0,22,1,0,2,1,5,3
72,70760,2,1,2,2,142084,6,1,0,0,4,24,24,4000,0,9,1,0,2,1,5,3
61,70705,2,1,2,2,149907,6,1,0,0,4,24,24,4000,0,22,1,0,2,1,5,3
62,70735,2,2,2,1,232017,4,1,5,2,1,48,48,6000,0,12,1,0,2,1,6,3
72,70735,2,1,2,2,9999999,6,1,2,1,4,24,24,3000,0,23,1,0,2,1,5,3
64,70735,2,0,5,1,219908,4,1,4,0,6,24,24,18000,0,16,1,0,2,1,5,3
65,70725,2,1,2,2,9999999,4,1,9,0,8,21,21,40000,1,16,1,0,1,1,9,3
69,70735,2,0,2,1,9999999,4,1,0,0,1,48,48,5000,1,7,1,0,2,1,10,3
64,70720,2,1,2,2,219908,6,1,5,7,4,24,24,4000,0,7,1,0,2,1,5,3
67,70725,2,1,2,2,6999900,6,1,9,0,1,48,48,3000,0,9,1,0,2,1,6,3
87,70725,2,1,2,2,219908,6,1,9,0,6,24,24,15000,1,22,1,0,2,1,5,3
62,70735,2,0,4,2,100008,6,1,0,0,1,48,48,5000,1,4,1,0,2,1,10,3
67,70735,2,1,3,2,9999999,4,1,0,0,6,24,24,50000,1,15,1,6,2,1,11,3
65,70735,2,0,2,1,3331022,4,1,3,2,1,48,48,10000,0,17,1,0,2,1,8,3
75,70725,2,1,2,2,9999999,4,1,5,0,2,42,42,7000,0,18,1,0,2,1,5,3
77,70735,2,1,2,2,149907,4,1,9,0,4,24,24,4000,0,4,1,0,2,1,5,3
66,70735,2,0,5,1,6999900,4,1,0,0,6,24,24,10000,0,20,1,0,2,1,11,3
65,70735,2,1,2,2,219908,6,1,6,2,6,24,24,25000,0,17,1,0,2,1,5,3
71,70735,2,2,2,2,9999999,4,1,3,0,4,24,24,6800,0,20,1,0,2,1,11,3
66,70760,2,1,2,2,9999999,4,1,0,0,1,48,48,15000,1,4,1,0,2,1,11,3
66,70725,2,1,2,2,211011,4,1,3,1,6,24,24,70000,0,23,1,1,2,1,3,3
79,70735,2,1,2,2,219908,6,1,5,0,1,48,48,10000,0,5,1,0,2,1,5,3
71,70735,2,0,3,2,219908,6,1,9,1,2,42,42,10000,0,12,1,0,2,1,7,3
62,70725,2,1,2,2,9411998,4,1,1,1,6,24,24,25000,0,16,1,0,2,1,11,3
87,70735,2,1,2,2,219908,4,1,5,0,6,24,24,20000,1,22,1,0,2,1,11,3
62,70725,2,1,2,2,219908,6,1,9,6,6,24,24,25000,1,17,1,0,2,1,5,3
66,70735,2,0,2,2,219908,4,1,9,0,4,24,24,6000,0,12,1,0,2,1,11,3
72,70735,2,1,2,2,9999999,6,1,2,1,4,24,24,3000,0,23,1,0,2,1,5,3
69,70725,2,1,2,2,100008,6,1,0,0,3,18,18,8000,0,23,5,1,2,1,3,3
65,70735,2,0,5,1,9999999,4,1,3,3,2,42,42,40000,1,11,1,0,2,1,11,3
67,70705,2,4,4,2,149907,6,1,9,0,1,48,48,5000,0,5,1,0,2,1,7,3
70,70760,2,0,2,1,6999900,4,1,9,0,2,42,42,15000,0,10,1,0,2,1,6,3
87,70725,2,1,2,2,219908,6,1,9,0,6,24,24,10000,1,22,1,0,2,1,5,3
67,70725,2,1,2,2,6999900,6,1,9,0,1,48,48,5000,0,9,1,0,2,1,6,3
61,70735,2,0,2,1,9999999,6,1,0,0,1,48,48,3000,0,17,1,0,2,1,6,3
65,70735,2,1,2,2,2711019,6,1,2,3,4,24,24,5000,0,20,1,0,2,1,11,3
62,70725,2,1,2,2,219908,6,1,9,6,6,24,24,30000,1,17,1,0,2,1,5,3
71,70735,2,0,3,2,219908,6,1,9,1,2,42,42,20000,0,12,1,0,2,1,7,3
65,70735,2,1,2,2,219908,6,1,6,2,6,24,24,40000,0,17,1,0,2,1,5,3
79,70735,2,1,2,2,219908,6,1,5,0,1,48,48,5000,0,5,1,0,2,1,3,3
68,70725,2,2,2,2,9999999,6,1,0,0,1,48,48,10000,0,2,1,0,2,1,2,3
62,70735,2,0,4,2,100008,6,1,0,0,1,48,48,10000,0,4,1,0,2,1,6,3
69,70725,2,1,2,2,100008,6,1,0,0,4,24,24,2000,0,23,1,0,2,1,5,3
61,70760,2,1,2,2,9999999,6,1,0,0,4,24,24,4900,0,7,1,0,2,1,5,3
68,70760,2,0,2,2,111063,6,1,0,0,4,24,24,3000,0,23,1,0,2,1,5,3
75,70760,2,0,3,1,9999999,4,1,2,0,3,18,18,7500,0,19,5,1,2,1,5,3
66,70735,2,0,5,1,6999900,4,1,0,0,6,24,24,7000,0,20,1,0,2,1,3,3
67,70725,2,1,2,2,6999900,6,1,9,0,1,48,48,5000,0,9,1,0,2,1,6,3
75,70725,2,1,2,2,9999999,4,1,5,0,8,21,21,80000,2,18,1,1,1,1,11,3
71,70735,2,0,3,2,219908,6,1,9,1,2,42,42,10000,0,12,1,0,2,1,7,3
87,70725,2,1,2,2,219908,6,1,9,0,6,24,24,10000,1,22,1,0,2,1,6,3
64,70720,2,1,2,2,219908,6,1,5,7,4,24,24,3500,0,7,1,0,2,1,2,3
68,70725,2,1,2,2,9999999,6,1,0,0,1,48,48,5000,0,11,1,0,2,1,7,3
71,70735,2,0,2,1,6999900,6,1,1,1,1,48,48,2000,1,3,1,0,2,1,6,3
72,70760,2,1,2,2,142084,6,1,0,0,4,24,24,5000,0,9,1,0,2,1,5,3
62,70735,2,2,2,1,232017,4,1,5,2,12,48,48,11000,0,12,1,0,1,1,11,3
71,70735,2,0,3,2,219908,6,1,9,1,13,42,42,25000,0,12,1,0,1,1,5,3
77,70735,2,1,2,2,149907,4,1,9,0,4,24,24,5000,0,4,1,0,2,1,5,3
79,70735,2,1,2,2,219908,6,1,5,0,4,24,24,8000,0,5,1,0,2,1,11,3
67,70735,2,1,2,2,9999999,6,1,2,0,3,18,18,15000,0,11,5,1,2,1,3,3
87,70735,2,1,2,2,219908,4,1,5,0,6,24,24,20000,0,22,1,0,2,1,11,3
65,70298,2,2,2,2,100008,6,1,0,0,4,24,24,4500,0,22,1,0,2,1,5,3
74,70735,2,0,3,2,6999900,6,1,0,0,4,24,24,2000,0,23,1,0,2,2,5,3
61,70760,2,1,2,2,9999999,6,1,0,0,4,24,24,4900,0,7,1,0,2,1,5,3
61,70735,2,0,2,1,9999999,6,1,0,0,1,48,48,4000,0,17,1,0,2,1,10,3
75,70760,2,0,3,1,9999999,4,1,2,0,3,18,18,8400,0,19,5,1,2,1,5,3
72,70760,2,1,2,2,142084,6,1,0,0,4,24,24,4000,0,9,1,0,2,1,5,3
76,70725,2,1,4,2,9999999,6,1,0,0,4,24,24,3000,0,19,1,0,2,1,6,3
67,70735,2,1,2,2,9999999,6,1,2,0,3,18,18,30000,0,11,5,1,2,1,1,3
69,70735,2,0,2,1,9999999,4,1,0,0,1,48,48,3000,0,7,1,0,2,1,6,3
61,70705,2,1,2,2,149907,6,1,0,0,4,24,24,4000,0,22,1,0,2,1,5,3
62,70735,2,0,4,2,100008,6,1,0,0,12,48,48,15000,0,4,1,0,1,1,6,3
68,70760,2,2,2,2,9999999,6,1,1,0,4,24,24,5000,0,23,1,0,2,1,5,3
67,70725,2,1,2,2,6999900,6,1,9,0,12,48,48,6000,0,9,1,0,1,1,6,3
76,70735,2,1,2,2,219908,6,1,9,0,2,42,42,10000,0,13,1,0,2,1,5,3
74,70735,2,0,3,2,6999900,6,1,0,0,4,24,24,3000,0,23,1,0,2,2,5,3
64,70725,2,1,2,2,149907,6,1,9,0,4,24,24,5000,0,20,1,0,2,1,5,3
68,70760,2,0,2,2,111063,6,1,0,0,4,24,24,5000,0,23,1,0,2,1,5,3
67,70735,2,3,2,2,219908,6,1,5,2,4,24,24,2000,0,18,1,0,2,1,3,3
69,70760,2,1,2,2,6999900,4,1,9,2,4,24,24,5000,0,15,1,0,2,1,5,3
74,70735,2,0,3,2,6999900,6,1,0,0,4,24,24,2000,0,23,1,0,2,2,2,3
65,70735,2,1,2,2,2711019,6,1,2,3,4,24,24,2000,0,20,1,0,2,1,2,3
71,70735,2,0,3,2,219908,6,1,9,1,14,24,24,35000,0,12,1,0,1,1,5,3
68,70705,2,1,4,2,149907,6,1,0,0,14,24,24,10000,0,19,1,0,1,1,5,3
70,70735,2,0,3,2,219908,6,1,9,1,12,48,48,10000,0,0,1,0,1,1,11,3
87,70725,2,1,2,2,219908,6,1,9,0,14,24,24,15000,0,22,1,0,1,1,5,3
64,70735,2,1,2,2,232017,4,1,1,0,12,48,48,20000,1,0,1,0,1,1,11,3
74,70735,2,0,3,2,6999900,6,1,0,0,4,24,24,2000,0,23,1,0,2,2,3,3
65,70298,2,2,2,2,100008,6,1,0,0,4,24,24,4500,0,22,1,0,2,1,5,3
75,70760,2,0,3,1,9999999,4,1,2,0,3,18,18,8000,0,19,5,1,2,1,5,3
72,70760,2,1,2,2,142084,6,1,0,0,4,24,24,4900,0,9,1,0,2,1,5,3
72,70725,2,1,3,1,2071017,4,1,0,0,4,24,24,4900,0,4,1,0,2,1,6,3
76,70725,2,1,4,2,9999999,6,1,0,0,4,24,24,4000,0,19,1,0,2,1,5,3
67,70725,2,1,2,2,6999900,6,1,9,0,12,48,48,5000,0,9,1,0,1,1,6,3
76,70735,2,1,2,2,219908,6,1,9,0,2,42,42,10000,0,13,1,0,2,1,5,3
64,70735,2,0,5,1,219908,4,1,4,0,14,24,24,50000,0,16,1,6,1,1,11,3
68,70760,2,2,2,2,9999999,6,1,1,0,4,24,24,5000,0,23,1,0,2,1,5,3
65,70735,2,1,2,2,2711019,6,1,2,3,4,24,24,3000,0,20,1,0,2,1,5,3
64,70725,2,1,2,2,149907,6,1,9,0,4,24,24,5000,0,20,1,0,2,1,5,3
67,70705,2,4,4,2,149907,6,1,9,0,4,24,24,5000,0,5,1,0,2,1,5,3
69,70725,2,1,2,2,100008,6,1,0,0,4,24,24,4000,0,23,1,0,2,1,5,3
69,70760,2,1,2,2,6999900,4,1,9,2,4,24,24,2000,0,15,1,0,2,1,3,3
61,70705,2,1,2,2,149907,6,1,0,0,4,24,24,4000,0,22,1,0,2,1,5,3
68,70705,2,1,4,2,149907,6,1,0,0,14,24,24,15000,0,19,1,0,1,1,7,3
65,70298,2,2,2,2,100008,6,1,0,0,4,24,24,4500,0,22,1,0,2,1,3,3
72,70760,2,1,2,2,142084,6,1,0,0,4,24,24,6000,0,9,1,0,2,1,5,3
77,70735,2,1,2,2,149907,4,1,9,0,4,24,24,5000,0,4,1,0,2,1,5,3
87,70735,2,1,2,2,219908,4,1,5,0,6,24,24,20000,0,22,1,0,2,1,11,3
62,70725,2,1,2,2,219908,6,1,9,6,6,24,24,15000,0,17,1,0,2,1,11,3
69,70230,2,1,2,2,149907,6,1,9,0,3,18,18,5500,0,10,5,1,2,1,2,3
62,70725,2,1,2,2,6999900,6,1,1,1,4,24,24,4500,0,11,1,0,2,1,6,3
75,70760,2,0,3,1,9999999,4,1,2,0,3,18,18,7000,0,19,5,1,2,1,5,3
63,70725,2,1,2,2,149907,4,1,0,1,4,24,24,2000,0,11,1,0,2,1,2,3
69,70760,2,1,2,2,6999900,4,1,9,2,4,24,24,3000,0,15,1,0,2,1,6,3
78,70725,2,2,2,2,149907,4,1,1,0,3,18,18,10000,0,1,5,2,2,1,3,3
63,70117,2,0,5,1,6134019,4,1,4,3,2,42,42,10000,1,16,1,0,2,1,6,3
65,70110,2,0,2,1,6131023,6,1,5,5,2,42,42,35000,1,15,1,0,2,1,3,3
73,70117,2,0,2,1,6131023,6,1,7,6,2,42,42,25000,1,31,1,0,2,1,3,3
63,70117,2,0,5,1,6134019,4,1,4,3,2,42,42,30000,1,16,1,0,2,1,4,3
62,70140,2,0,2,1,8719017,6,1,9,6,2,42,42,15000,1,11,1,0,2,1,5,3
63,70720,2,1,2,2,2711019,6,1,2,2,2,42,42,10000,1,11,1,0,2,1,5,3
61,70110,3,2,2,2,9999999,7,1,3,3,5,36,36,50000,1,3,1,1,2,1,5,3
65,70720,3,4,2,1,9999999,6,1,1,0,2,42,42,10000,1,8,1,0,2,1,11,3
67,70110,2,0,5,1,6999900,5,1,5,5,7,72,72,15000,0,9,1,0,2,1,11,3
